GeoName,LineCode,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3
Ohio,1,All industry total,458210,462923.7,469805,472632.9,472367.5,476954.5,479025.1,480455.7,486960.6,489797,493182.2,493355.1,493727.8,496968.8,494826.6,480913.2,481448.4,474104.9,475697.2,480843.4,484406.6,492786.8,501523.9,507113.4,511054.7,518679.5,526956.4,536729.3,534566,541486.3,544237.8,543239.4,554123.3,554661,562202.6,572760.3,575540.2,589356,601565.1,605043.5,603440.1,609109.9,609917.9,614818.7,611250.3,619778.9,624490.1,630650.9,634358.3,638461.8,644944.3,651641.3,662028.3,673002.2,680592.9,684495.3,688012.2,691884.6,698180.8,703368.9,696274.2,626275.4,683460.1
Ohio,2,  Private industries,406767.2,410203.5,417430,419468.4,419250.6,423108.7,424442.1,426387.9,430943.8,434216.3,436659.4,437377.2,435824.2,439093.3,436388.4,422458.6,422655.7,415574.7,416642.2,421047.2,423254.2,431119.1,439413.2,444715.6,449482,457044.3,464650.9,474678,472175.3,478253.4,480906.5,479176.7,490329.8,490031.4,497859.6,508184.5,510687.1,523695.1,536051.6,538969.9,536788,542060.9,542549.8,547416.8,543280.7,551891.4,555725.2,560674.9,565127.8,568158.3,573792.7,580711.9,590380.3,600876.3,606752.6,611241.1,613508.4,617415,623328.4,627033.2,619900.3,553380.5,608684.7
Ohio,83,  Government and government enterprises,51442.8,52720.2,52375.1,53164.5,53116.9,53845.8,54583,54067.8,56016.8,55580.7,56522.8,55977.9,57903.6,57875.5,58438.2,58454.6,58792.7,58530.3,59055,59796.2,61152.3,61667.7,62110.7,62397.8,61572.7,61635.1,62305.5,62051.3,62390.8,63232.9,63331.4,64062.7,63793.5,64629.5,64343,64575.8,64853.1,65660.9,65513.5,66073.5,66652.1,67049.1,67368.1,67401.9,67969.7,67887.6,68764.9,69976.1,69230.5,70303.6,71151.6,70929.4,71648,72126,73840.2,73254.2,74503.7,74469.6,74852.3,76335.7,76373.9,72894.8,74775.4
Oklahoma,1,All industry total,120037.8,122828.1,126289.7,128325.9,140436.4,136246.1,135679.8,135436.1,138293.9,142935.1,147367.8,150601.3,153972,163730,163946.8,157396.5,147858.4,144091.9,145610.9,145871.7,149264.2,152303.7,154750.4,156542.3,157573.5,164237.9,167825.8,170728.3,172353.4,172650.1,172413.2,175538.5,179174.8,180100.3,182476,185681.9,188718.7,193803.9,197378.1,194284.8,186282,184067.3,184356.2,181856.2,176083.1,177924,178005.1,179239.8,182490.8,184815.7,185443.6,189192.4,194290,197788.2,200001.1,202303.9,202146.7,202274,202119.3,201604.3,195606.4,173060.5,186882.9
Oklahoma,2,  Private industries,100318.5,103036.4,106495,107790.2,119759.4,115148,114120.3,113373.4,116015.2,120185.3,124233.1,127367.2,130152.5,139625.6,139532.7,132688.2,122670.8,118888.6,120159.8,120272.5,122932.8,125901,128153.2,130225.2,130779.5,137565.2,140914.2,143978.8,146102.9,146208.5,145946.6,148779.3,152155.4,152790.8,155216.9,158220.4,161103.6,166087.5,169416.8,165952.4,157514.5,155191,155305.5,152746.9,146919.5,148829.6,148950.5,150152.1,153123.1,155175.5,155245.3,158874.7,163937.2,167115.3,168618.4,170578.2,169874.2,169705.8,169260.2,168433.7,162139.7,140398.4,153114.9
Oklahoma,83,  Government and government enterprises,19719.3,19791.8,19794.7,20535.7,20677.1,21098.2,21559.5,22062.7,22278.7,22749.8,23134.7,23234.1,23819.5,24104.5,24414.1,24708.3,25187.6,25203.3,25451.1,25599.2,26331.5,26402.6,26597.2,26317.1,26794,26672.7,26911.6,26749.5,26250.5,26441.6,26466.6,26759.3,27019.5,27309.5,27259.1,27461.5,27615.1,27716.4,27961.3,28332.5,28767.5,28876.2,29050.7,29109.3,29163.6,29094.4,29054.6,29087.7,29367.7,29640.2,30198.3,30317.8,30352.8,30672.9,31382.7,31725.8,32272.5,32568.2,32859.1,33170.6,33466.7,32662.2,33768
Oregon,1,All industry total,141541.6,142054.1,144313.7,146458.8,152281.7,153378.4,156208.5,158795.9,157612.2,159928.3,163111.6,165074.2,164502.5,165704.7,166282,163713.9,162601.7,160057,159890.7,159750.2,163582,162514.1,164153.2,165058.8,169138.3,170110.4,170087.5,173146.1,174348.9,175022.7,175284.6,173054.2,176547.2,177714.4,180267.5,183028.7,182741.4,187300.1,191295.7,193772.8,198568.1,200936.2,205179.3,206190.7,211499.5,213692.9,214744.9,218532.9,221577.7,225390.6,228419.5,232781.1,237068.3,240531.1,243988.7,246324.2,249543.8,251471.7,254784.7,258692.6,257687.6,233799.2,253848.9
Oregon,2,  Private industries,122599.3,123331,125503.8,126987.1,132436.4,133024.5,135675.7,137983.1,136844.5,138865.3,141782.3,143536.2,142604.5,143620,143902,140912.3,139520.5,136844.6,136593.3,136841.3,140042,139006.5,140334.1,141164.8,144460.1,144985.3,145916.6,148611.2,150075.9,150811.3,151055.8,148903.4,152241.8,153149.3,155533.2,158054.8,157503,161919.5,165262.2,167575.6,171831.5,174036.1,178075.1,179042.7,183809.5,186357.9,187099.8,190267.7,193216.2,196300.8,199424.8,203171.3,207153.8,210177.1,213112.2,215338.8,218096.9,219748.9,222785.3,226362,225261.6,203022.3,222227
Oregon,83,  Government and government enterprises,18942.3,18723.1,18809.9,19471.7,19845.3,20353.9,20532.8,20812.7,20767.6,21063,21329.3,21538,21897.9,22084.7,22380,22801.6,23081.2,23212.4,23297.5,22908.9,23540,23507.7,23819.1,23894,24678.1,25125.1,24170.9,24534.9,24273,24211.4,24228.7,24150.8,24305.4,24565.1,24734.3,24973.9,25238.3,25380.6,26033.5,26197.2,26736.5,26900.1,27104.2,27148,27690,27335,27645.1,28265.2,28361.5,29089.8,28994.7,29609.7,29914.5,30354,30876.5,30985.4,31447,31722.9,31999.4,32330.6,32425.9,30776.9,31621.9
Pennsylvania,1,All industry total,494553.1,500002.1,509325.1,515602,513983.1,522510.3,530417.5,535753.3,545323,552764.1,564726.7,573756.6,575086.5,585633,585854.3,579535.6,572019.2,571006.6,574743.2,590084.9,585591.5,595317.7,604840.8,610350.6,604271.4,615858.6,623163.9,630927.7,634399.2,640183,645172.2,642897.8,654351.9,659888.3,665084.5,674013.3,675112.3,687773.9,698968.3,702838.4,706173.5,711160.9,713463.6,716350.9,717591.6,723679,731571,734696.5,735552,738575.8,749711.9,756723.5,764535.7,775759.4,783635.5,789567.7,797988.3,805933.2,812579.9,818448.6,808936.8,723830.4,788500
